track_id,class_name,max_stand_time_sec,ever_jam_contributor,first_seen_frame,last_seen_frame
1,bus,8.26,True,0,739
2,bus,13.97,True,0,739
3,car,10.26,True,0,528
4,car,4.92,False,0,205
5,bus,3.8,False,0,739
6,bus,3.67,False,0,739
7,car,24.19,True,0,739
8,car,16.98,True,0,577
9,bus,5.84,True,188,344
9,car,7.92,True,0,411
10,car,4.0,False,0,244
11,truck,0.71,False,0,216
12,car,3.29,False,0,738
13,car,8.68,True,0,647
14,car,8.68,True,0,657
15,motorcycle,8.05,True,0,279
16,bus,1.63,False,0,153
17,car,2.59,False,8,739
17,truck,0.0,False,478,478
18,car,2.38,False,16,739
19,car,3.84,False,18,739
22,bus,1.71,False,78,121
22,car,2.34,False,36,142
25,car,0.08,False,59,146
27,bus,3.42,False,131,739
27,car,0.83,False,75,147
27,truck,0.08,False,129,130
28,bus,11.68,True,100,739
28,car,0.13,False,78,108
28,truck,11.59,True,640,737
29,car,0.08,False,84,176
30,bus,0.29,False,198,678
30,car,3.92,False,88,739
31,car,0.29,False,110,159
32,car,5.05,True,120,664
34,car,0.75,False,206,273
35,bus,4.05,False,213,732
35,car,4.25,False,247,717
35,truck,4.21,False,290,739
41,car,7.88,True,242,739
48,car,0.08,False,296,339
49,car,0.13,False,302,404
51,car,0.0,False,371,378
52,car,2.0,False,403,739
54,motorcycle,0.08,False,509,554
55,motorcycle,3.84,False,520,649
57,car,0.33,False,534,544
59,motorcycle,0.0,False,560,584
62,motorcycle,0.04,False,577,630
65,car,1.04,False,624,675
66,car,1.17,False,655,739
68,bus,0.0,False,672,690
70,motorcycle,0.21,False,710,739
